Id,Ref (haul identifier),Cruise,Station,Event,Netno,Nettype,Net mouthm2,Net mesh(mm),Trajectorycode,Date,Year,Month,Day,GMT time,Local time,Day/night,Latitude (dec degrees),Longitude (dec degrees),Minimumnet depth(m),Maximum net depth (m),Water depth mean within 10km range (m),Water depth range within 10km range (m),Mean climatological temperature within 10 km range,Bin size,Mean length (mm),Total krill in sample,Source,Comments
3326,HUMB10,HUMB,30,10,,ENGEL,39.52,12,HZ,27-Jan-00,2000,1,27,18:32:00,,D,-61.7501,-56.8371,12,15,-437,130,1.3,1,46.96,104,Peruvian summer 1999/2000 data from Javier Quinones,
3327,HUMB11,HUMB,,11,,ENGEL,39.52,12,HZ,28-Jan-00,2000,1,28,02:23:00,,N,-61.3031,-55.6731,250,300,-179,337,1.34,1,51.07,74,Peruvian summer 1999/2000 data from Javier Quinones,
3328,HUMB12,HUMB,,12,,ENGEL,39.52,12,HZ,28-Jan-00,2000,1,28,05:50:00,,N,-60.8781,-55.9301,40,50,-1213,2696,1.76,1,48.55,65,Peruvian summer 1999/2000 data from Javier Quinones,
3329,HUMB13,HUMB,,13,,ENGEL,39.52,12,HZ,28-Jan-00,2000,1,28,10:46:00,,D,-60.6021,-55.4521,20,60,-3443,265,1.81,1,50.7,76,Peruvian summer 1999/2000 data from Javier Quinones,
3330,HUMB14,HUMB,39,14,,ENGEL,39.52,12,HZ,28-Jan-00,2000,1,28,14:26:00,,D,-60.9581,-55.0471,5,15,-569,2022,1.43,1,49.63,225,Peruvian summer 1999/2000 data from Javier Quinones,
3331,HUMB15,HUMB,43,15,,ENGEL,39.52,12,HZ,28-Jan-00,2000,1,28,20:35:00,,D,-61.5071,-54.5571,0,80,-1460,1605,0.91,1,50.09,152,Peruvian summer 1999/2000 data from Javier Quinones,
3332,HUMB2,HUMB,3,2,,ENGEL,39.52,12,HZ,25-Jan-00,2000,1,25,00:58:00,,N,-62.5081,-62.8901,40,120,-1721,2517,1.85,1,51.23,31,Peruvian summer 1999/2000 data from Javier Quinones,
3333,HUMB3,HUMB,7,3,,ENGEL,39.52,12,HZ,25-Jan-00,2000,1,25,13:57:00,,D,-62.0921,-61.4301,10,46,-1935,1091,1.79,1,48.82,33,Peruvian summer 1999/2000 data from Javier Quinones,
3334,HUMB5,HUMB,13,5,,ENGEL,39.52,12,HZ,25-Jan-00,2000,1,25,23:33:00,,D,-61.9081,-60.7651,80,130,-1923,1079,1.81,1,51.33,33,Peruvian summer 1999/2000 data from Javier Quinones,
3335,HUMB6,HUMB,15,6,,ENGEL,39.52,12,,26-Jan-00,2000,1,26,06:51:00,,N,-61.5481,-61.0621,15,45,-4676,840,2.08,1,51.44,110,Peruvian summer 1999/2000 data from Javier Quinones,
3336,HUMB7,HUMB,16,7,,ENGEL,39.52,12,,26-Jan-00,2000,1,26,12:33:00,,D,-61.1781,-59.8101,125,200,-4879,696,2.09,1,51.33,72,Peruvian summer 1999/2000 data from Javier Quinones,
3337,HUMB8,HUMB,26,8,,ENGEL,39.52,12,,27-Jan-00,2000,1,27,10:02:00,,D,-60.9701,-57.5901,0,0,-4205,2016,2.07,1,51.62,73,Peruvian summer 1999/2000 data from Javier Quinones,
3338,HUMB9,HUMB,28,9,,ENGEL,39.52,12,,27-Jan-00,2000,1,27,14:44:00,,D,-61.3951,-57.2181,25,65,-1123,1932,1.56,1,50.49,79,Peruvian summer 1999/2000 data from Javier Quinones,
3339,ITFX17,ITFX,,17,,IKMT,5,4,,06-Feb-81,1981,2,6,15:43:00,,D,-62.7212,-58.0843,0,0,-868,912,0.08,1,39.06,151,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3340,ITFX25,ITFX,,25,,IKMT,5,4,,08-Feb-81,1981,2,8,14:55:00,,D,-63.2894,-60.7678,25,50,-482,340,0.44,1,46.34,151,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3341,ITFX31,ITFX,,31,,IKMT,5,4,,09-Feb-81,1981,2,9,23:20:00,,D,-63.6799,-61.3374,0,0,-613,805,0.61,1,48.04,150,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3342,ITFX32,ITFX,,32,,IKMT,5,4,,10-Feb-81,1981,2,10,02:00:00,,N,-63.6713,-61.3124,0,0,-562,808,0.59,1,44.96,148,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3343,ITFX35,ITFX,,35,,IKMT,5,4,,14-Feb-81,1981,2,14,10:57:00,,D,-62.7819,-57.3585,0,0,-252,363,-0.1,1,39.35,150,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3344,ITFX38,ITFX,,38,,IKMT,5,4,,15-Feb-81,1981,2,15,12:50:00,,D,-62.6238,-56.1785,0,0,-413,391,-0.04,1,42.47,149,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3345,ITFX46,ITFX,,46,,IKMT,5,4,,18-Feb-81,1981,2,18,23:50:00,,N,-61.9405,-58.9029,0,0,-177,192,1.3,1,44.21,151,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3346,ITFX58,ITFX,,58,,IKMT,5,4,,23-Feb-81,1981,2,23,11:15:00,,D,-62.3158,-61.6235,0,0,-887,1540,1.71,1,41.37,148,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3347,ITFX59,ITFX,,59,,IKMT,5,4,,23-Feb-81,1981,2,23,16:10:00,,D,-62.3158,-61.6235,0,0,-887,1540,1.71,1,46.06,159,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3348,ITFX6,ITFX,,6,,IKMT,5,4,,04-Feb-81,1981,2,4,10:37:00,,D,-61.393,-54.6471,5,30,-647,1190,0.97,1,42.46,152,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3349,ITFX8,ITFX,,8,,IKMT,5,4,,04-Feb-81,1981,2,4,16:10:00,,D,-61.8837,-54.1813,0,0,-361,223,0.5,1,43.54,144,"Data from the ""Biological Investigations of Marine Antarctic Systems and Stocks"" (BIOMASS) programme of the 1980s, stored at British Antractic Survey, and transcribed to KRILLBASE by Mark Jessopp in 2007.",
3350,JAZDZEWSKI-I10,I PAMRE,,10,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-64.1074,-67.2454,10,60,-2798,428,1.78,2,46.65,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3351,JAZDZEWSKI-I11,I PAMRE,,11,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-64.1063,-65.6495,10,60,-505,81,1.43,2,36.57,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3352,JAZDZEWSKI-I13,I PAMRE,,13,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.6321,-64.9896,10,60,-391,726,1.5,2,42.76,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3353,JAZDZEWSKI-I16,I PAMRE,,16,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.8957,-64.9749,10,60,-399,105,1.38,2,35.66,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3354,JAZDZEWSKI-I23,I PAMRE,,23,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.3317,-66.4434,10,60,-3424,340,2,2,46.36,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3355,JAZDZEWSKI-I24,I PAMRE,,24,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.2897,-64.8667,10,60,-2225,1484,1.72,2,47.3,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3356,JAZDZEWSKI-I25,I PAMRE,,25,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.187,-64.2976,10,60,-891,2812,1.69,2,47.06,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3357,JAZDZEWSKI-I26,I PAMRE,,26,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.222,-64.6405,10,60,-2274,2489,1.75,2,46.26,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3358,JAZDZEWSKI-I27,I PAMRE,,27,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.262,-64.1582,10,60,-474,549,1.67,2,48.2,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3359,JAZDZEWSKI-I5,I PAMRE,,5,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.6149,-66.1233,10,60,-3038,496,1.84,2,45.72,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3360,JAZDZEWSKI-I6,I PAMRE,,6,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.741,-65.7781,10,60,-1333,2517,1.71,2,44,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3361,JAZDZEWSKI-I7,I PAMRE,,7,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.9819,-65.6632,10,60,-465,86,1.57,2,42.72,97,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3362,JAZDZEWSKI-I8,I PAMRE,,8,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-64.0106,-66.5002,10,60,-1865,2656,1.73,2,47.88,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3363,JAZDZEWSKI-I9,I PAMRE,,9,,Trawl 23/56x4,,6,,03-Feb-76,1976,2,3,,,,-63.8641,-66.5083,10,60,-2970,1550,1.82,2,45.48,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region I sampled 28/1-5/2. Size classes in 2mm.
3364,JAZDZEWSKI-II28,I PAMRE,,28,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.7001,-57.2001,10,60,-404,94,1.36,2,42.67,98,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3365,JAZDZEWSKI-II29,I PAMRE,,29,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.4001,-56.9001,10,60,-625,748,1.55,2,43.47,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3366,JAZDZEWSKI-II30,I PAMRE,,30,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.6001,-57.0001,10,60,-466,93,1.44,2,36.61,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3367,JAZDZEWSKI-II31,I PAMRE,,31,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.5001,-56.7001,10,60,-489,98,1.39,2,44.38,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3368,JAZDZEWSKI-II36,I PAMRE,,36,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.8001,-56.1001,10,60,-944,1221,1.13,2,36.68,97,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3369,JAZDZEWSKI-II37,I PAMRE,,37,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.8001,-56.4001,10,60,-675,933,1.14,2,39.66,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3370,JAZDZEWSKI-II39,I PAMRE,,39,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.8001,-56.5001,10,60,-612,637,1.11,2,39.52,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3371,JAZDZEWSKI-II45,I PAMRE,,45,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.9001,-55.9001,10,60,-1855,1200,0.87,2,38.36,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3372,JAZDZEWSKI-II46,I PAMRE,,46,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.8001,-55.9001,10,60,-1426,1844,1.01,2,38.26,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3373,JAZDZEWSKI-II49,I PAMRE,,49,,Trawl 23/56x4,,6,,08-Feb-76,1976,2,8,,,,-61.7001,-56.4001,10,60,-559,204,1.2,2,42.42,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region II sampled 5-11 Feb. Size classes in 2mm.
3374,JAZDZEWSKI-III127,I PAMRE,,127,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.9426,-36.7925,10,60,-212,153,3.01,2,38.84,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3375,JAZDZEWSKI-III128,I PAMRE,,128,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.8054,-36.8923,10,60,-208,157,3.11,2,32.46,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3376,JAZDZEWSKI-III132,I PAMRE,,132,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.7913,-37.0988,10,60,-160,139,3.21,2,38.9,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3377,JAZDZEWSKI-III137,I PAMRE,,137,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.8637,-37.2372,10,60,-196,211,3.2,2,34.1,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3378,JAZDZEWSKI-III138,I PAMRE,,138,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.6613,-37.1285,10,60,-213,609,3.25,2,41.27,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3379,JAZDZEWSKI-III148,I PAMRE,,148,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.8465,-36.9703,10,60,-183,153,3.13,2,35.27,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3380,JAZDZEWSKI-III150,I PAMRE,,150,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.7129,-37.3837,10,60,-228,223,3.35,2,33.54,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3381,JAZDZEWSKI-III151,I PAMRE,,151,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.7856,-36.8086,10,60,-210,151,3.1,2,32,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3382,JAZDZEWSKI-III157,I PAMRE,,157,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.2941,-36.0075,10,60,-168,208,2.91,2,27.6,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3383,JAZDZEWSKI-III169,I PAMRE,,169,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.8465,-35.9217,10,60,-392,842,2.98,2,38.36,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3384,JAZDZEWSKI-III179,I PAMRE,,179,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-53.9532,-36.4323,10,60,-197,160,2.99,2,34.21,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3385,JAZDZEWSKI-III202,I PAMRE,,202,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.5894,-35.633,10,60,-186,199,2.8,2,26.74,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3386,JAZDZEWSKI-III209,I PAMRE,,209,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.5937,-37.2476,10,60,-143,197,3.04,2,31,98,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3387,JAZDZEWSKI-III210,I PAMRE,,210,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.5237,-37.8961,10,60,-222,223,3.24,2,28.7,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3388,JAZDZEWSKI-III52,I PAMRE,,52,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.0534,-36.3105,10,60,-210,172,2.98,2,27.47,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3389,JAZDZEWSKI-III58,I PAMRE,,58,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.091,-36.2245,10,60,-235,142,2.96,2,40.81,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3390,JAZDZEWSKI-III60,I PAMRE,,60,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.1649,-36.1268,10,60,-210,168,2.92,2,27.43,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3391,JAZDZEWSKI-III61,I PAMRE,,61,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.24,-35.8653,10,60,-220,95,2.9,2,31.78,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3392,JAZDZEWSKI-III65,I PAMRE,,65,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.6715,-35.3858,10,60,-168,203,2.79,2,28.24,98,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3393,JAZDZEWSKI-III66,I PAMRE,,66,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.694,-35.2202,10,60,-249,167,2.77,2,28.12,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3394,JAZDZEWSKI-III69,I PAMRE,,69,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.5483,-35.1825,10,60,-672,1440,2.78,2,27.03,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3395,JAZDZEWSKI-III70,I PAMRE,,70,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.6094,-35.7993,10,60,-134,240,2.8,2,27.11,99,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3396,JAZDZEWSKI-III71,I PAMRE,,71,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.6688,-35.7777,10,60,-123,427,2.79,2,29.43,101,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
3397,JAZDZEWSKI-III73,I PAMRE,,73,,BONGO,1.13,6,,08-Mar-76,1976,3,8,,,,-54.5266,-35.8011,10,60,-152,243,2.82,2,28.68,100,"Jazdzewski, K et al (1978) Biological and populational studies on krill near South Shetland Islands, Scotia Sea and South Georgia in the summer 1976. Polskie Archiwum Hydrobiologii 25(3) 607-631",Region III sampled 17Feb-22Mar. Size classes in 2mm. Not all hauls digitized as some graphs obscured.
